oldvar,RPP.LANDCLIMII
CHARCOAL >25 um,zz.do not use
Charcoal >250um,zz.do not use
Charcoal >250um (gr/cm\^2\^/yr),zz.do not use
Charcoal >25um,zz.do not use
Charcoal >40my,zz.do not use
Charcoal >45,zz.do not use
CHARCOAL 10-25 um,zz.do not use
Charcoal dust,zz.do not use
Charcoal dust > 10 micr,zz.do not use
Charcoal dust >10,zz.do not use
Charcoal dust >10µ,zz.do not use
Charcoal dust >100µ,zz.do not use
Charcoal particles,zz.do not use
Charcoal_1,zz.do not use
Chardinia/Onopordon,zz.do not use
Charyophylaceae,zz.do not use
Charyophyllaceae,zz.do not use
Charyophyllaceae p.p.,zz.do not use
Charyophyllaceae undiff,zz.do not use
Cheilanthes,zz.do not use
Cheilanthes,zz.do not use
Cheledonium,zz.do not use
CHELIDON,zz.do not use
CHELIDONI,zz.do not use
Chelidonium,zz.do not use
chelidonium,zz.do not use
Chelidonium majus,zz.do not use
Chelidonium majus,zz.do not use
Chelidonium type,zz.do not use
Chelidonum type,zz.do not use
Cheno,Amanranthaceae/Chenopodiaceae
Chenopod,Amanranthaceae/Chenopodiaceae
CHENOPOD,Amanranthaceae/Chenopodiaceae
Chenopodia,Amanranthaceae/Chenopodiaceae
chenopodia,Amanranthaceae/Chenopodiaceae
Chenopodia,Amanranthaceae/Chenopodiaceae
Chenopodiacae undiff.,Amanranthaceae/Chenopodiaceae
Chenopodiacaea,Amanranthaceae/Chenopodiaceae
Chenopodiacea rå,Amanranthaceae/Chenopodiaceae
Chenopodiaceae,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE,Amanranthaceae/Chenopodiaceae
chenopodiaceae,Amanranthaceae/Chenopodiaceae
Chenopodiaceae,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE,Amanranthaceae/Chenopodiaceae
Chenopodiaceae ,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE  ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae  ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae   ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae                          ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae - goosefoot family,Amanranthaceae/Chenopodiaceae
Chenopodiaceae - mållväxter,Amanranthaceae/Chenopodiaceae
Chenopodiaceae (mållväxter),Amanranthaceae/Chenopodiaceae
Chenopodiaceae Amaranthaceae,Amanranthaceae/Chenopodiaceae
Chenopodiaceae and Amaran.,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE halophiles,Amanranthaceae/Chenopodiaceae
Chenopodiaceae p.p.,Amanranthaceae/Chenopodiaceae
Chenopodiaceae rå,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE SPP,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE t. haloph,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE type halophile,Amanranthaceae/Chenopodiaceae
Chenopodiaceae und,Amanranthaceae/Chenopodiaceae
Chenopodiaceae undiff.,Amanranthaceae/Chenopodiaceae
CHENOPODIACEAE UNDIFF.,Amanranthaceae/Chenopodiaceae
Chenopodiaceae undiff.,Amanranthaceae/Chenopodiaceae
Chenopodiaceae ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae,Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae,Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae  ,Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae (broken),Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae (crumpled),Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae (degraded),Amanranthaceae/Chenopodiaceae
Chenopodiaceae/Amaranthaceae (intact),Amanranthaceae/Chenopodiaceae
Chenopodiaceae-Amaranthaceae,Amanranthaceae/Chenopodiaceae
Chenopodiaceae-type,Amanranthaceae/Chenopodiaceae
Chenopodium,Amanranthaceae/Chenopodiaceae
chenopodium,Amanranthaceae/Chenopodiaceae
Chenopodium album,Amanranthaceae/Chenopodiaceae
Chenopodium rå,Amanranthaceae/Chenopodiaceae
Chenopodium type,Amanranthaceae/Chenopodiaceae
Chenopodium-type,Amanranthaceae/Chenopodiaceae
Chlamydomonas zygospore,zz.do not use
Chrozophora,zz.do not use
Chrozophora,zz.do not use
Chrysanthemum alpinum,zz.do not use
Chrysanthemum-type,zz.do not use
Chrysophyceae,zz.do not use
Chrysoplenium,zz.do not use
CHRYSOSP_T,zz.do not use
CHRYSOSPLE,zz.do not use
Chrysosplenium,zz.do not use
CHRYSOSPLENIUM,zz.do not use
Chrysosplenium,zz.do not use
CHRYSOSPLENIUM  ,zz.do not use
Chrysosplenium                          ,zz.do not use
Chrysosplenium alterniflorum,zz.do not use
Chrysosplenium oppositifolium,zz.do not use
Chrysosplenium sp.,zz.do not use
Chrysosplenium type,zz.do not use
Chrysosplenium-type,zz.do not use
Cich,zz.do not use
Cichoiraceae,zz.do not use
Cichoriace,zz.do not use
Cichoriaceae,zz.do not use
CICHORIACEAE,zz.do not use
Cichoriaceae,zz.do not use
Cichoriaceae undiff.,zz.do not use
Cichoriaceae undiff. ,zz.do not use
Cichoriae,zz.do not use
CICHORIO,zz.do not use
Cichorioi,zz.do not use
Cichorioidea,zz.do not use
Cichorioideae,zz.do not use
CICHORIOIDEAE,zz.do not use
Cichorioideae,zz.do not use
CICHORIOIDEAE,zz.do not use
Cichorioideae cf. Hieracium ,zz.do not use
CICHORIOIDEAE UNDIFF.,zz.do not use
Cichoriu,zz.do not use
Cichorium,zz.do not use
Cichorium intybus,zz.do not use
Cichorium intybus type,zz.do not use
CICHORIUM INTYBUS TYPE,zz.do not use
Cichorium intybus-T,zz.do not use
Cichorium intybus-type,zz.do not use
Cichorium intybus-type                  ,zz.do not use
Cichorium type,zz.do not use
Cichorium-type,zz.do not use
Cichoroideae,zz.do not use
Cicuta,zz.do not use
Cicuta type,zz.do not use
Cicuta virosa,zz.do not use
CICUTA VIROSA,zz.do not use
Cicuta virosa,zz.do not use
Cicuta virosa type,zz.do not use
Cicuta_vir,zz.do not use
CicutVir,zz.do not use
Circaea,zz.do not use
circaea,zz.do not use
CIRCAEA,zz.do not use
Circaea,zz.do not use
Circaea - häxört,zz.do not use
Circaea t.,zz.do not use
CIRCEA,zz.do not use
Circea lutetiana,zz.do not use
CIRCEAE,zz.do not use
Circeae,zz.do not use
Circeae  ,zz.do not use
Circea-type,zz.do not use
CIRCIUM,zz.do not use
Circium t,zz.do not use
Circium-type,zz.do not use
Cirsium,zz.do not use
cirsium,zz.do not use
CIRSIUM,zz.do not use
Cirsium,zz.do not use
Cirsium - tistlar,zz.do not use
Cirsium (Carduus),zz.do not use
Cirsium acaule,zz.do not use
Cirsium cf.,zz.do not use
Cirsium cf. arvense,zz.do not use
Cirsium cf. oleraceum,zz.do not use
Cirsium cf. palustre,zz.do not use
Cirsium cf. vulgare,zz.do not use
Cirsium palustre,zz.do not use
Cirsium palustre type,zz.do not use
Cirsium rå,zz.do not use
Cirsium sp.,zz.do not use
Cirsium spinosissimum,zz.do not use
Cirsium t.,zz.do not use
CIRSIUM T.,zz.do not use
Cirsium type,zz.do not use
CIRSIUM TYPE,zz.do not use
cirsium type,zz.do not use
Cirsium type,zz.do not use
Cirsium/Carduus,zz.do not use
Cirsium/Carduus type,zz.do not use
Cirsium/Carduus-type,zz.do not use
Cirsium/Gundelia,zz.do not use
CIRSIUM_T,zz.do not use
Cirsium_ty,zz.do not use
Cirsium-t,zz.do not use
Cirsium-Typ,zz.do not use
Cirsium-type,zz.do not use
Cirsium-type,zz.do not use
Cirsium-type                            ,zz.do not use
Cirsium-type=Carduus-type,zz.do not use
Cistaceae,zz.do not use
CISTACEAE,zz.do not use
Cistaceae,zz.do not use
CISTACEAE,zz.do not use
Cistus,zz.do not use
Cistus,zz.do not use
CISTUS,zz.do not use
Cistus albidus-type,zz.do not use
Cistus cf. albidus,zz.do not use
Cistus cf.incanus,zz.do not use
Cistus incanus,zz.do not use
Cistus incanus type,zz.do not use
Cistus ladanifer,zz.do not use
Cistus ladanifer-type,zz.do not use
Cistus monspeliensis-type,zz.do not use
Cistus salvifolius,zz.do not use
Cistus salvifolius-type,zz.do not use
Cistus salviifolius,zz.do not use
Cistus salviifolius,zz.do not use
Cistus spp,zz.do not use
Cistus type,zz.do not use
Cistus undiff.,zz.do not use
Cistus villosus,zz.do not use
Citrus,zz.do not use
Citrus,zz.do not use
Cladium,Cyperaceae
CLADIUM,Cyperaceae
Cladium ,Cyperaceae
Cladium mariscus,Cyperaceae
CLADIUM MARISCUS,Cyperaceae
Cladium mariscus,Cyperaceae
Cladium ,Cyperaceae
Cladium_ma,Cyperaceae
CladiumMa,Cyperaceae
Cladocera,zz.do not use
Cladocerae,zz.do not use
Clathrulina elegans,zz.do not use
Clavatum-type/Diphasium,zz.do not use
clematis,zz.do not use
Clematis,zz.do not use
Clematis,zz.do not use
Clematis type,zz.do not use
Clematis vitalba group,zz.do not use
CLOSTERIUM,zz.do not use
Closterium,zz.do not use
Closterium cf. C. rostratum,zz.do not use
Closterium idiosporum,zz.do not use
Closterium idiosporum type,zz.do not use
Closterium idiosporum-type,zz.do not use
Cnicus,zz.do not use
Coelastrum,zz.do not use
Colchicum,zz.do not use
Colchicum-type,zz.do not use
Colchicum-type,zz.do not use
COLEOGETON,zz.do not use
Coleogeton,zz.do not use
Comandra elegans,zz.do not use
Comarum,zz.do not use
Comarum palustre,zz.do not use
COMARUM_T,zz.do not use
Comarum-Typ,zz.do not use
Combretaceae,zz.do not use
Commiphora,zz.do not use
COMP. LIGULIFLORAE  ,zz.do not use
Comp. SF. Cichorioideae,zz.do not use
COMP. TUBULIFLORAE  ,zz.do not use
Comp.SF.Cichor.,zz.do not use
Composit_1,zz.do not use
Composit_2,zz.do not use
Composit_3,zz.do not use
Compositae,zz.do not use
compositae,zz.do not use
Compositae  ,zz.do not use
Compositae (andere),zz.do not use
Compositae (Cich.),zz.do not use
Compositae (Cichoriodeae),zz.do not use
Compositae (Cichorioideae),zz.do not use
Compositae Anthemis T,zz.do not use
Compositae Aster T,zz.do not use
Compositae Carduus T,zz.do not use
Compositae Cichorideae,zz.do not use
Compositae Cichorioideae,zz.do not use
COMPOSITAE CIRSIUM  ,zz.do not use
Compositae indeterminata,zz.do not use
Compositae lig,zz.do not use
compositae lig ,zz.do not use
Compositae lig.,zz.do not use
COMPOSITAE LIG.,zz.do not use
Compositae Lig.,zz.do not use
COMPOSITAE LIG.     ,zz.do not use
compositae liguliflorae,zz.do not use
Compositae Liguliflorae,zz.do not use
Compositae liguliflorae,zz.do not use
Compositae Liguliflorae ,zz.do not use
Compositae SF Asteroideae,zz.do not use
Compositae SF Chorioideae,zz.do not use
Compositae SF Cichorioidae,zz.do not use
Compositae SF Cichorioidae ,zz.do not use
Compositae SF Cichorioideae,zz.do not use
Compositae SF. Asteroideae,zz.do not use
Compositae SF. Cichoridae,zz.do not use
Compositae subf. Asteroideae,zz.do not use
compositae subfam asteroideae,zz.do not use
Compositae Subfam Asteroideae undiff,zz.do not use
compositae subfam cichorioideae,zz.do not use
Compositae Subfam Cichorioideae undiff,zz.do not use
Compositae Subfam. Asteroideae,zz.do not use
Compositae subfam. Asteroideae,zz.do not use
Compositae Subfam. Asteroideae,zz.do not use
Compositae Subfam. Asteroideae undiff.,zz.do not use
Compositae subfam. Asteroideae undifferentiated,zz.do not use
Compositae Subfam. Cichorioideae,zz.do not use
Compositae subfam. Cichorioideae,zz.do not use
Compositae Subfam. Cichorioideae,zz.do not use
Compositae subfam. Cichorioideae ,zz.do not use
Compositae Subfam. Cichorioideae undiff.,zz.do not use
Compositae subfam. Cichorioideae ,zz.do not use
Compositae subfam. Liguliflorae,zz.do not use
Compositae subfam. Tubuliflorae,zz.do not use
Compositae subfam. Tubuliflorae indet,zz.do not use
Compositae subfam. Tubuliflorae indet ,zz.do not use
Compositae subfam. Tubuliflorae indet ,zz.do not use
Compositae Tub.,zz.do not use
Compositae tub.,zz.do not use
COMPOSITAE TUB.     ,zz.do not use
COMPOSITAE TUB. UNDIFF.,zz.do not use
compositae tubiflora,zz.do not use
Compositae Tubuliflorae,zz.do not use
Compositae tubuliflorae,zz.do not use
Compositae Tubuliflorae ,zz.do not use
Compositae undiff,zz.do not use
Compositae undiff (crumpled),zz.do not use
Compositae undiff.,zz.do not use
Compositae(Cichorioideae),zz.do not use
Compositae(lig.),zz.do not use
Compositae(tub.),zz.do not use
Compositae-Cichorioideae,zz.do not use
Compositae-lig,zz.do not use
Compositae-tub,zz.do not use
Compositat liguliflorae,zz.do not use
Compositeae Cichorideae,zz.do not use
CONCEALED,zz.do not use
Concealed,zz.do not use
Concentrat,zz.do not use
Concentration charcoal,zz.do not use
Concentration of Ly,zz.do not use
Concentration of Lyc,zz.do not use
Concentration of Lycopodium (/ml),zz.do not use
Concentration of marker,zz.do not use
Concentration of marker,zz.do not use
Concentration of spike,zz.do not use
Concentration pollen,zz.do not use
Concentration pollen,zz.do not use
Concentration spikes,zz.do not use
Coniferae (vesiculate),zz.do not use
Coniferae indet.,zz.do not use
Coniferophyta,zz.do not use
CONIFERS,zz.do not use
Coniochaeta,zz.do not use
Conium maculatum,zz.do not use
CONIUM MACULATUM,zz.do not use
Conium maculatum,zz.do not use
Conium-Typ,zz.do not use
Conium-type,zz.do not use
Conopodium majus,zz.do not use
Conopodium type,zz.do not use
CONOPODIUM TYPE ,zz.do not use
Consolida,zz.do not use
Consolida,zz.do not use
Consolida ambigua,zz.do not use
Consolida type,zz.do not use
Consolida-Typ,zz.do not use
Consolida-type,zz.do not use
Consolida-type,zz.do not use
CONVALLARIA,zz.do not use
Convallaria majalis,zz.do not use
Convallaria major,zz.do not use
Convallaria type,zz.do not use
Convallaria-Typ,zz.do not use
Convallaria-type,zz.do not use
Convallaria-type,zz.do not use
Convolvolus,zz.do not use
CONVOLVOLUS ,zz.do not use
CONVOLVUL,zz.do not use
Convolvula,zz.do not use
Convolvulaceae,zz.do not use
CONVOLVULACEAE,zz.do not use
CONVOLVULACEAE,zz.do not use
Convolvulaceae,zz.do not use
Convolvulu,zz.do not use
Convolvulus,zz.do not use
CONVOLVULUS,zz.do not use
Convolvulus,zz.do not use
CONVOLVULUS ARV,zz.do not use
Convolvulus arvense,zz.do not use
Convolvulus arvensis,zz.do not use
Convolvulus arvensis ,zz.do not use
Convolvulus arvensis rå,zz.do not use
Convolvulus arvensis type,zz.do not use
Convolvulus arvensis-Typ,zz.do not use
Convolvulus arvensis-type,zz.do not use
Convolvulus sepium,zz.do not use
Convolvulus type,zz.do not use
Convovulus arvensis,zz.do not use
Convulvulaceae,zz.do not use
Convulvulus sepium,zz.do not use
Copepoda spermatophores,zz.do not use
Copepoda-Spermatophoren,zz.do not use
COR_MYR,Corylus avellana
Coriaria,zz.do not use
Coriaria myrtifolia,zz.do not use
Cornaceae,zz.do not use
Cornaceae T,zz.do not use
Cornus,zz.do not use
CORNUS,zz.do not use
Cornus,zz.do not use
Cornus ,zz.do not use
CORNUS  SANGUINEA,zz.do not use
Cornus cf. C. suecica,zz.do not use
Cornus mas,zz.do not use
Cornus mas,zz.do not use
CORNUS MAS,zz.do not use
Cornus mas type,zz.do not use
Cornus mas/C. suecica,zz.do not use
Cornus mas/Cornus suecica,zz.do not use
Cornus mas-Typ,zz.do not use
Cornus mas-type,zz.do not use
Cornus mas-type,zz.do not use
Cornus sang.,zz.do not use
Cornus sanguinea,zz.do not use
CORNUS SANGUINEA,zz.do not use
Cornus sanguinea,zz.do not use
Cornus sanguinea ,zz.do not use
Cornus sanguinea-type,zz.do not use
Cornus sanguinea-type,zz.do not use
Cornus sanguisorba,zz.do not use
Cornus sanquinea,zz.do not use
Cornus suecia,zz.do not use
Cornus suecia rå,zz.do not use
Cornus suecica,zz.do not use
CORNUS SUECICA,zz.do not use
Cornus suecica rå,zz.do not use
Cornus suecica type,zz.do not use
Cornus suecica-type,zz.do not use
Cornus suecisa-Typ,zz.do not use
Cornus type,zz.do not use
CORNUS_MAS,zz.do not use
CORNUS_SAN,zz.do not use
Cornus_sue,zz.do not use
CORNUS_SUE,zz.do not use
Cornusmas,zz.do not use
Coronilla varia,zz.do not use
CORONILLA VARIA T,zz.do not use
Coronilla-Typ,zz.do not use
Coronilla-type,zz.do not use
Coronilla-type,zz.do not use
Corrigiola litoralis,zz.do not use
Corrigiola telephiifolia,zz.do not use
Corrigiola telephiifolia-type,zz.do not use
Corroded,zz.do not use
CORRODED,zz.do not use
corroded,zz.do not use
Corulys/Myrica,Corylus avellana
Corydalis,zz.do not use
CORYDALIS,zz.do not use
Corydalis claviculata,zz.do not use
Corydalis group,zz.do not use
Corydalis lutea,zz.do not use
Corydalis lutea ,zz.do not use
Corydalis solida-type,zz.do not use
Corydalis-Gruppe,zz.do not use
CorylAve,Corylus avellana
Coryloid,Corylus avellana
Coryloid,Corylus avellana
Coryloid-type,Corylus avellana
Corylus,Corylus avellana
CORYLUS,Corylus avellana
corylus,Corylus avellana
Corylus,Corylus avellana
CORYLUS,Corylus avellana
Corylus ,Corylus avellana
CORYLUS ,Corylus avellana
Corylus  ,Corylus avellana
Corylus   ,Corylus avellana
Corylus                                 ,Corylus avellana
Corylus - hassel,Corylus avellana
Corylus - hassel  ,Corylus avellana
Corylus av,Corylus avellana
Corylus avellana,Corylus avellana
CORYLUS AVELLANA,Corylus avellana
Corylus avellana t.,Corylus avellana
Corylus avellana type,Corylus avellana
Corylus avellana-type,Corylus avellana
Corylus avellana-type                   ,Corylus avellana
Corylus rå,Corylus avellana
Corylus T,Corylus avellana
Corylus type,Corylus avellana
corylus type,Corylus avellana
CORYLUS TYPE,Corylus avellana
Corylus ,Corylus avellana
Corylus/Myrica,Corylus avellana
CORYLUS/MYRICA,Corylus avellana
Corylus-type,Corylus avellana
Coryophyllaceae,zz.do not use
COSENTINIA,zz.do not use
Cotinus,zz.do not use
Cotinus coggygria,zz.do not use
Cotinus coggygria,zz.do not use
COTONEAST,zz.do not use
Cotoneaster,zz.do not use
COTONEASTER-T.,zz.do not use
Count,zz.do not use
Counted exote,zz.do not use
Counted exote,zz.do not use
Counted Lycopodium spores,zz.do not use
Cousinia,zz.do not use
Cousinia,zz.do not use
Craetagus,zz.do not use
Crambe,zz.do not use
Crassula,zz.do not use
CRASSULACE,zz.do not use
Crassulaceae,zz.do not use
CRASSULACEAE,zz.do not use
Crassulaceae,zz.do not use
CRASSULACEAE,zz.do not use
Crataegu,zz.do not use
Crataegus,zz.do not use
crataegus,zz.do not use
CRATAEGUS,zz.do not use
Crataegus,zz.do not use
CRATAEGUS,zz.do not use
Crataegus monogyna,zz.do not use
Crataegus monogyna ,zz.do not use
CRATAEGUS SPP,zz.do not use
CRATAEGUS T,zz.do not use
Crataegus t.,zz.do not use
Crataegus type,zz.do not use
crataegus type,zz.do not use
CRATAEGUS TYPE,zz.do not use
Crataegus type,zz.do not use
CRATAEGUS-T.,zz.do not use
Crataegus-Typ,zz.do not use
Crataegus-type,zz.do not use
Crateagus,zz.do not use
Crepis,zz.do not use
Crepis aurea,zz.do not use
Crepis paludosa,zz.do not use
Crepis-Typ,zz.do not use
Crepis-type,zz.do not use
Crepis-type,zz.do not use
Cretaegus,zz.do not use
Crithmum,zz.do not use
Crocus,zz.do not use
Crocus,zz.do not use
CROCUS type,zz.do not use
CROCUS Type,zz.do not use
Crocus vernus,zz.do not use
Croton tinctorium,zz.do not use
Cruciferae,zz.do not use
cruciferae,zz.do not use
CRUCIFERAE,zz.do not use
Cruciferae,zz.do not use
CRUCIFERAE,zz.do not use
CRUCIFERAE  ,zz.do not use
Cruciferae rå,zz.do not use
Cruciferae sin.,zz.do not use
CRUCIFERAE SPP,zz.do not use
cruciferae undiff,zz.do not use
Cruciferae undiff,zz.do not use
cruciferae undiff ,zz.do not use
Cruciferae undiff.,zz.do not use
CRUCIFERAE UNDIFF.,zz.do not use
Cruciferae=Brassicaceae,zz.do not use
Crucifereae,zz.do not use
Crumpled,zz.do not use
crumpled,zz.do not use
Crumpled_t,zz.do not use
Crupina,zz.do not use
Crupina,zz.do not use
Cryprogramma,zz.do not use
Crypt.crispa,zz.do not use
Cryptogamma,zz.do not use
Cryptogamma crispa,zz.do not use
Cryptogram,zz.do not use
Cryptogramma,zz.do not use
cryptogramma,zz.do not use
Cryptogramma crispa,zz.do not use
Cryptogramma crispa,zz.do not use
Cryptogramma crispa                     ,zz.do not use
Cryptograms,zz.do not use
Cryptomeri,zz.do not use
CSD,zz.do not use
Cucumis,zz.do not use
Cucumis melo,zz.do not use
Cucumis sativus,zz.do not use
Cucurbitaceae,zz.do not use
Cultivated,zz.do not use
Cultivated land,zz.do not use
cultivated land,zz.do not use
cultural,zz.do not use
CUPRESS./TAXACEAE,zz.do not use
Cupressa,zz.do not use
Cupressaceae,zz.do not use
CUPRESSACEAE,zz.do not use
cupressaceae,zz.do not use
Cupressaceae,zz.do not use
CUPRESSACEAE,zz.do not use
Cupressaceae undiff.,zz.do not use
CUPRESSAEAE/TAXACEAE,zz.do not use
Cupressus,zz.do not use
Cuscuta,zz.do not use
CUSCUTA,zz.do not use
Cuscuta,zz.do not use
Cuscuta cf. epilinum,zz.do not use
Cuscuta epithymum,zz.do not use
Cuscuta europaea,zz.do not use
Cuscuta europaea type,zz.do not use
Cuscuta europaea-Typ,zz.do not use
Cuscuta europaea-type,zz.do not use
Cuscuta europea,zz.do not use
Cuscuta europeae,zz.do not use
Cuscuta lupuliformis,zz.do not use
Cuscute,zz.do not use
CYANOPHYCEAE sheaths,zz.do not use
CYANUS t.,zz.do not use
Cyclamen,Ericaceae
CYCLAMEN,Ericaceae
Cyclamen,Ericaceae
Cyclamen europaeum,Ericaceae
Cyclamen hederifolium,Ericaceae
CYDONIA,zz.do not use
Cymatiosphaera globulosa,zz.do not use
Cynoglossum,zz.do not use
CYNOGLOSSUM,zz.do not use
Cynoglossum,zz.do not use
Cynoglossum officinale type,zz.do not use
Cynoglossum officinale-type,zz.do not use
Cynoglossum type,zz.do not use
Cynoglossum-type,zz.do not use
Cynoglossum-type,zz.do not use
Cyp,Cyperaceae
Cyp.typ,Cyperaceae
Cyper,Cyperaceae
CYPERA,Cyperaceae
Cyperac,Cyperaceae
CYPERACE,Cyperaceae
Cyperace,Cyperaceae
Cyperace_1,Cyperaceae
Cyperacea,Cyperaceae
Cyperaceae,Cyperaceae
CYPERACEAE,Cyperaceae
cyperaceae,Cyperaceae
Cyperaceae,Cyperaceae
CYPERACEAE,Cyperaceae
Cyperaceae ,Cyperaceae
Cyperaceae  ,Cyperaceae
CYPERACEAE  ,Cyperaceae
Cyperaceae   ,Cyperaceae
Cyperaceae                              ,Cyperaceae
Cyperaceae - halvgräs,Cyperaceae
Cyperaceae - sedge family,Cyperaceae
Cyperaceae (broken),Cyperaceae
Cyperaceae (corroded),Cyperaceae
Cyperaceae (crumpled),Cyperaceae
Cyperaceae (degraded),Cyperaceae
Cyperaceae (halvgräs),Cyperaceae
Cyperaceae (intact),Cyperaceae
Cyperaceae indet.,Cyperaceae
Cyperaceae p.p.,Cyperaceae
Cyperaceae rå,Cyperaceae
cyperaceae rå,Cyperaceae
CYPERACEAE SPP,Cyperaceae
Cyperaceae und.,Cyperaceae
Cyperaceae undiff,Cyperaceae
Cyperaceae undiff.,Cyperaceae
Cyperaceae undifferentiated,Cyperaceae
Cyperaceae ,Cyperaceae
CYPERACEAE/JUNCACEAE,Cyperaceae
Cyperaceae=Cyperaceae undiff.,Cyperaceae
Cyperus,Cyperaceae
Cyperus,Cyperaceae
Cyperus spp,Cyperaceae
Cyperus-t,Cyperaceae
CYSTO_FRAG,zz.do not use
Cystopteris,zz.do not use
cystopteris,zz.do not use
Cystopteris,zz.do not use
Cystopteris filix femina,zz.do not use
Cystopteris filix-fragilis,zz.do not use
Cystopteris fragilis,zz.do not use
Cystopteris fragilis-type,zz.do not use
Cystopteris s.p.,zz.do not use
Cystopteris spp.,zz.do not use
Cystopteris sudetica,zz.do not use
Cystopteris type,zz.do not use
Cystopteris-type,zz.do not use
Cytisus,zz.do not use
Cytisus cf.,zz.do not use
Cytisus/Genista-type,zz.do not use
Cytisus-type,zz.do not use
Dactylis-type,Poaceae
Dalechampia,zz.do not use
Daphne,zz.do not use
DAPHNE,zz.do not use
Daphne,zz.do not use
DAPHNE,zz.do not use
Daphne laureola,zz.do not use
Daphne mezereum,zz.do not use
Daphne oleoides,zz.do not use
Daphne rå,zz.do not use
Daphne type,zz.do not use
Daphne/Thymelaea,zz.do not use
Daphne-type,zz.do not use
Dates cal yr BP,zz.do not use
Datisca,zz.do not use
Datisca cannabina,zz.do not use
Datisca cannabina,zz.do not use
Daucus,zz.do not use
Daucus,zz.do not use
Daucus carota,zz.do not use
DAUCUS CAROTA,zz.do not use
Daucus carota,zz.do not use
Daucus carota T.                        ,zz.do not use
DAUCUS CAROTA TYPE,zz.do not use
DAUCUS T,zz.do not use
Daucus type,zz.do not use
DAUCUS TYPE,zz.do not use
Daucus-Typ,zz.do not use
Daucus-type,zz.do not use
Davallia,zz.do not use
Debarya,zz.do not use
DEBARYA,zz.do not use
DEBARYA GLYPTOSPERMA,zz.do not use
Deciduous QUERCUS,Quercus deciduous
deciduous Quercus,Quercus deciduous
Deciduous Quercus,Quercus deciduous
Deciduous tree: seed,zz.do not use
Def.,zz.do not use
degraded,zz.do not use
DEGRADED,zz.do not use
Degraded,zz.do not use
degradet,zz.do not use
Degree of destruction,zz.do not use
Delphinium,zz.do not use
Delphinium type,zz.do not use
Delphinium type,zz.do not use
Delphinium-type,zz.do not use
Deposition time (yr/cm),zz.do not use
depth,zz.do not use
Depth,zz.do not use
DEPTH,zz.do not use
depth,zz.do not use
Depth,zz.do not use
Depth ,zz.do not use
depth (cm),zz.do not use
depth (cm),zz.do not use
Depth (cm),zz.do not use
depth (m),zz.do not use
Depth [cm],zz.do not use
depths,zz.do not use
Deschampsia,Poaceae
Destruction Alnus,zz.do not use
Destruction Betula,zz.do not use
Destruction degree,zz.do not use
Dianthus,zz.do not use
DIANTHUS,zz.do not use
Dianthus superbus type,zz.do not use
Dianthus superbus-type,zz.do not use
Dianthus t,zz.do not use
Dianthus T,zz.do not use
Dianthus type,zz.do not use
dianthus type,zz.do not use
DIANTHUS TYPE,zz.do not use
DIANTHUS TYPE UNDIFF.,zz.do not use
Dianthus/Petrorhagia,zz.do not use
Dianthus/Petrorhagia,zz.do not use
Dianthus_t,zz.do not use
DIANTHUS_T,zz.do not use
Dianthus-Typ,zz.do not use
Dianthus-type,zz.do not use
Diapensia lapponica,zz.do not use
Dicranum,zz.do not use
Dictamnus albus,zz.do not use
Difflugia pyriformis,zz.do not use
Digitalis,zz.do not use
DIGITALIS,zz.do not use
digitalis,zz.do not use
Digitalis,zz.do not use
Digitalis purpurea,zz.do not use
Digitalis purpurea type,zz.do not use
Digitalis purpurea-Typ,zz.do not use
Digitalis purpurea-type,zz.do not use
Digitalis type,zz.do not use
Digitalis-type,zz.do not use
Digitalis-type,zz.do not use
DINOFLAGELLATAE,zz.do not use
Dinoflagellates,zz.do not use
Dinoflagelles,zz.do not use
Diospyros,zz.do not use
Diphasiastrum,zz.do not use
Diphasiastrum complanatum,zz.do not use
Diphasiastrum complanatum - plattlummer,zz.do not use
Diphasiastrum complanatum-type,zz.do not use
Diphasiastrum T.,zz.do not use
Diphasium,zz.do not use
Diphasium,zz.do not use
Diphasium alpinum,zz.do not use
Diphasium alpinum type,zz.do not use
Diphasium alpinum/D. complanatum,zz.do not use
Diphasium alpinum-type,zz.do not use
Diphasium cf. D. alpinum,zz.do not use
Diphasium complanatum,zz.do not use
DIPHASIUM COMPLANATUM TYPE,zz.do not use
